order_id,product_id,unit_price,quantity,discount
10402,23,7.2,60,0
10402,63,35.1,65,0
10403,16,13.9,21,0.15
10403,48,10.2,70,0.15
10412,14,18.6,20,0.1
10413,1,14.4,24,0
10413,62,39.4,40,0
10413,76,14.4,14,0
10416,19,7.3,20,0
10416,53,26.2,10,0
10416,57,15.6,20,0
10418,2,15.2,60,0
10418,47,7.6,55,0
10418,61,22.8,16,0
10418,74,8,15,0
10424,35,14.4,60,0.2
10424,38,210.8,49,0.2
10424,68,10,30,0.2
10425,55,19.2,10,0.25
10425,76,14.4,20,0.25
10429,50,13,40,0
10429,63,35.1,35,0.25
10430,17,31.2,45,0.2
10430,21,8,50,0
10430,56,30.4,30,0
10430,59,44,70,0.2
10437,53,26.2,15,0
10439,12,30.4,15,0
10439,16,13.9,16,0
10439,64,26.6,6,0
10439,74,8,30,0
10440,2,15.2,45,0.15
10440,16,13.9,49,0.15
10440,29,99,24,0.15
10440,61,22.8,90,0.15
10442,11,16.8,30,0
10442,54,5.9,80,0
10442,66,13.6,60,0
10444,17,31.2,10,0
10444,26,24.9,15,0
10444,35,14.4,8,0
10444,41,7.7,30,0
10445,39,14.4,6,0
10445,54,5.9,15,0
10451,55,19.2,120,0.1
10451,64,26.6,35,0.1
10451,65,16.8,28,0.1
10451,77,10.4,55,0.1
10452,28,36.4,15,0
10452,44,15.5,100,0.05
10454,16,13.9,20,0.2
10454,33,2,20,0.2
10454,46,9.6,10,0.2
10455,39,14.4,20,0
10455,53,26.2,50,0
10455,61,22.8,25,0
10455,71,17.2,30,0
10456,21,8,40,0.15
10456,49,16,21,0.15
10457,59,44,36,0
10468,30,20.7,8,0
10468,43,36.8,15,0
10469,2,15.2,40,0.15
10469,16,13.9,35,0.15
10469,44,15.5,2,0.15
10470,18,50,30,0
10470,23,7.2,15,0
10470,64,26.6,8,0
10476,55,19.2,2,0.05
10476,70,12,12,0
10483,34,11.2,35,0.05
10483,77,10.4,30,0.05
10486,11,16.8,5,0
10486,51,42.4,25,0
10486,74,8,16,0
10490,59,44,60,0
10490,68,10,30,0
10490,75,6.2,36,0
10493,65,16.8,15,0.1
10493,66,13.6,10,0.1
10493,69,28.8,10,0.1
10498,24,4.5,14,0
10498,40,18.4,5,0
10498,42,14,30,0
10500,15,15.5,12,0.05
10500,28,45.6,8,0.05
10503,14,23.25,70,0
10503,65,21.05,20,0
10504,2,19,12,0
10504,21,10,12,0
10504,53,32.8,10,0
10504,61,28.5,25,0
10505,62,49.3,3,0
10506,25,14,18,0.1
10506,70,15,14,0.1
10510,29,123.79,36,0
10510,75,7.75,36,0.1
10511,4,22,50,0.15
10511,7,30,50,0.15
10511,8,40,10,0.15
10514,20,81,39,0
10514,28,45.6,35,0
10514,56,38,70,0
10514,65,21.05,39,0
10514,75,7.75,50,0
10515,9,97,16,0.15
10515,16,17.45,50,0
10515,27,43.9,120,0
10515,33,2.5,16,0.15
10515,60,34,84,0.15
10516,18,62.5,25,0.1
10516,41,9.65,80,0.1
10516,42,14,20,0
10524,10,31,2,0
10524,30,25.89,10,0
10524,43,46,60,0
10524,54,7.45,15,0
10525,36,19,30,0
10525,40,18.4,15,0.1
10526,1,18,8,0.15
10526,13,6,10,0
10526,56,38,30,0.15
10527,4,22,50,0.1
10527,36,19,30,0.1
10540,3,10,60,0
10540,26,31.23,40,0
10540,38,263.5,30,0
10540,68,12.5,35,0
10542,11,21,15,0.05
10542,54,7.45,24,0.05
10549,31,12.5,55,0.15
10549,45,9.5,100,0.15
10549,51,53,48,0.15
10552,69,36,18,0
10552,75,7.75,30,0
10553,11,21,15,0
10553,16,17.45,14,0
10553,22,21,24,0
10553,31,12.5,30,0
10553,35,18,6,0
10555,14,23.25,30,0.2
10555,19,9.2,35,0.2
10555,24,4.5,18,0.2
10555,51,53,20,0.2
10555,56,38,40,0.2
10565,24,4.5,25,0.1
10565,64,33.25,18,0.1
10567,31,12.5,60,0.2
10567,51,53,3,0
10567,59,55,40,0.2
10570,11,21,15,0.05
10570,56,38,60,0.05
10571,14,23.25,11,0.15
10571,42,14,28,0.15
10572,16,17.45,12,0.1
10572,32,32,10,0.1
10572,40,18.4,50,0
10572,75,7.75,15,0.1
10583,29,123.79,10,0
10583,60,34,24,0.15
10583,69,36,10,0.15
10588,18,62.5,40,0.2
10588,42,14,100,0.2
10590,1,18,20,0
10590,77,13,60,0.05
10595,35,18,30,0.25
10595,61,28.5,120,0.25
10595,69,36,65,0.25
10596,56,38,5,0.2
10596,63,43.9,24,0.2
10596,75,7.75,30,0.2
10601,13,6,60,0
10601,59,55,35,0
10603,22,21,48,0
10603,49,20,25,0.05
10605,16,17.45,30,0.05
10605,59,55,20,0.05
10605,60,34,70,0.05
10605,71,21.5,15,0.05
10607,7,30,45,0
10607,17,39,100,0
10607,33,2.5,14,0
10607,40,18.4,42,0
10607,72,34.8,12,0
10610,36,19,21,0.25
10612,10,31,70,0
10612,36,19,55,0
10612,49,20,18,0
10612,60,34,40,0
10612,76,18,80,0
10613,13,6,8,0.1
10613,75,7.75,40,0
10618,6,25,70,0
10618,56,38,20,0
10618,68,12.5,15,0
10619,21,10,42,0
10619,22,21,40,0
10626,53,32.8,12,0
10626,60,34,20,0
10626,71,21.5,20,0
10627,62,49.3,15,0
10627,73,15,35,0.15
10630,55,24,12,0.05
10630,76,18,35,0
10631,75,7.75,8,0.1
10633,12,38,36,0.15
10633,13,6,13,0.15
10633,26,31.23,35,0.15
10633,62,49.3,80,0.15
10636,4,22,25,0
10636,58,13.25,6,0
10641,2,19,50,0
10641,40,18.4,60,0
10646,1,18,15,0.25
10646,10,31,18,0.25
10646,71,21.5,30,0.25
10646,77,13,35,0.25
10654,4,22,12,0.1
10654,39,18,20,0.1
10654,54,7.45,6,0.1
10657,15,15.5,50,0
10657,41,9.65,24,0
10657,46,12,45,0
10657,47,9.5,10,0
10657,56,38,45,0
10657,60,34,30,0
10658,21,10,60,0
10658,40,18.4,70,0.05
10658,60,34,55,0.05
10658,77,13,70,0.05
10661,39,18,3,0.2
10661,58,13.25,49,0.2
10663,40,18.4,30,0.05
10663,42,14,30,0.05
10663,51,53,20,0.05
10667,69,36,45,0.2
10667,71,21.5,14,0.2
10672,38,263.5,15,0.1
10672,71,21.5,12,0
10678,12,38,100,0
10678,33,2.5,30,0
10678,41,9.65,120,0
10678,54,7.45,30,0
10687,9,97,50,0.25
10687,29,123.79,10,0
10687,36,19,6,0.25
10689,1,18,35,0.25
10691,1,18,30,0
10691,29,123.79,40,0
10691,43,46,40,0
10691,44,19.45,24,0
10691,62,49.3,48,0
10693,9,97,6,0
10693,54,7.45,60,0.15
10693,69,36,30,0.15
10693,73,15,15,0.15
10694,7,30,90,0
10694,59,55,25,0
10694,70,15,50,0
10696,17,39,20,0
10696,46,12,18,0
10698,11,21,15,0
10698,17,39,8,0.05
10698,29,123.79,12,0.05
10698,65,21.05,65,0.05
10698,70,15,8,0.05
10700,1,18,5,0.2
10700,34,14,12,0.2
10700,68,12.5,40,0.2
10700,71,21.5,60,0.2
10701,59,55,42,0.15
10701,71,21.5,20,0.15
10701,76,18,35,0.15
10705,31,12.5,20,0
10705,32,32,4,0
10711,19,9.2,12,0
10711,41,9.65,42,0
10711,53,32.8,120,0
10712,53,32.8,3,0.05
10712,56,38,30,0
